cpu_actual,cpu_predicted_msar
36.044910644910644,38.43036422478562
35.014545454545456,36.456713984608605
34.88432622932623,35.256085892608866
33.780854700854704,34.987055492745995
33.767449494949496,34.13654028590422
34.13971861471861,33.95601763430647
37.28907115760057,34.233553762643574
35.69576617826618,36.74086868288203
40.801642246642245,35.940941109832565
46.94765151515152,39.76611484501281
42.66570318570319,45.30322787407155
41.277403021814784,42.75065484322441
45.011203404438696,41.00592730997749
37.668501400560224,43.68464493627859
41.207806637806634,39.23138480517436
35.90795066045065,40.24179499750024
40.95727272727273,36.94276602094691
39.79146270396271,39.867059811527405
37.94332944832945,39.572928745769566
38.27034632034632,38.04442986202556
39.286376678876685,37.99256314200476
41.86741591741592,38.8096017864002
44.75201298701298,40.952884711298985
44.95440392940393,43.52926751116913
44.16515151515152,44.04666619906075
42.600160256410255,43.49224318786244
45.788733488733484,42.21025630423331
54.83428904428904,44.44271756831706
47.09941558441558,52.869224721436375
46.328766788766785,47.73188094252524
48.0290231990232,45.504786360160416
40.85036939668519,46.64230622372123
44.5597231934732,42.101203569704296
48.98886904761905,43.259834677256514
44.21500721500722,47.23621502387002
45.27900432900434,44.28486294944045
45.148536069193966,44.24968982342764
46.48159965034965,44.27822171310787
38.44165404040404,45.285149474577544
39.192572011322014,40.28314942316845
42.661527916527916,38.807281377788925
45.9740342990343,41.58731993355145
48.6287012987013,44.588445740914054
44.18107226107226,47.059721348548806
41.59505411255411,44.19770167262688
41.845059523809525,41.522887545273946
38.925524475524476,41.24772440123898
42.042659007659005,39.13001184694402
39.49274045399045,41.0546475007747
41.39602813852814,39.54963279483386
37.88045815295815,40.6122459695585
40.32235717498875,38.29387920313567
42.42976190476191,39.573048605954554
42.27113247863248,41.514349071027
41.92808681514564,41.67339073302318
40.9845054945055,41.399669644640916
46.93530489118724,40.64079945392728
41.14787851037851,45.307292481120164
44.458798701298704,41.77617961629231
40.35274253524254,43.22094709279232
39.68976190476191,40.65155364573608
40.70160478410479,39.44355513732569
36.54491841491842,40.095756965539934
41.835867612779374,37.24092232502544
45.21348178137651,40.66397338844226
41.082114552114554,43.89013910292066
42.76948051948052,41.313767337971996
38.8356357694593,41.888759629020896
35.71133897148603,39.255958153811136
47.297362914862916,36.29884287442669
40.28111416361416,46.526306916624456
38.29323953823954,41.158735687119545
40.47905844155844,38.435720458581045
34.0312987012987,39.74494577973508
33.738767311120256,35.62694187917843
33.43023504273504,34.006317092747466
37.18800420168068,33.69221579064035
34.350581918081915,36.58835409081443
34.62213773069037,34.94334156020463
33.47374417249418,34.69467322478165
34.8759022556391,33.86374586542965
35.86542348518355,34.761120974864454
39.034199134199135,35.70924118194261
36.70803253119429,38.32180912001516
42.14091325341326,36.98638612502448
36.91210678210678,40.96073321153981
33.142153679653674,37.79629460358328
35.24851540616247,34.1322801688074
33.610740231990235,35.01232861977251
34.17729327689854,34.06256314457306
29.846752414252414,34.243945190436115
33.86446886446886,31.210638733297472
33.295544733044736,33.52917949680002
