ts_bucket,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent,machine_id
422700,31.692307692307693,92.6923076923077,,,46.93,36.67000000000001,3.5384615384615383,m_1508
423000,28.647058823529413,92.11764705882354,,,46.93,36.6764705882353,6.176470588235294,m_1508
423300,24.272727272727273,89.36363636363636,,,46.93727272727272,36.68,3.727272727272727,m_1508
423600,21.833333333333332,89.0,,,46.94,36.68,3.0,m_1508
423900,21.4,89.0,,,46.94,36.69,3.6,m_1508
424200,23.454545454545453,90.0,,,46.95,36.69,4.2727272727272725,m_1508
424500,19.125,89.125,,,46.95,36.69,2.375,m_1508
424800,23.636363636363637,89.54545454545455,,,46.95454545454545,36.7,3.090909090909091,m_1508
425100,26.11111111111111,89.77777777777777,,,46.96000000000001,36.70000000000001,2.7777777777777777,m_1508
425400,22.416666666666668,91.33333333333333,,,46.96,36.70583333333334,2.3333333333333335,m_1508
425700,21.636363636363637,93.0,,,46.97,36.71,2.909090909090909,m_1508
426000,22.5,91.2,,,46.96999999999999,36.71,3.4,m_1508
426300,26.666666666666668,91.33333333333333,,,46.97666666666666,36.72,4.0,m_1508
426600,29.833333333333332,92.5,,,46.98,36.72,3.8333333333333335,m_1508
426900,25.5,91.58333333333333,,,46.98,36.72,3.5833333333333335,m_1508
427200,23.0,90.91666666666667,,,46.99,36.72916666666666,3.75,m_1508
427500,21.0,92.5,,,46.989999999999995,36.73,4.4,m_1508
427800,22.666666666666668,92.66666666666667,,,46.99666666666667,36.73333333333333,5.666666666666667,m_1508
428100,24.444444444444443,92.77777777777777,,,47.0,36.74,3.6666666666666665,m_1508
428400,26.125,94.625,,,47.00125,36.74,3.25,m_1508
428700,22.666666666666668,94.66666666666667,,,47.01,36.74166666666667,2.8333333333333335,m_1508
429000,26.555555555555557,94.55555555555556,,,47.010000000000005,36.75,2.5555555555555554,m_1508
429300,24.0,95.0,,,47.01428571428572,36.75,2.857142857142857,m_1508
429600,29.666666666666668,95.0,,,47.02,36.75444444444444,3.4444444444444446,m_1508
429900,27.666666666666668,95.0,,,47.02333333333334,36.76,3.111111111111111,m_1508
430200,26.625,94.5,,,47.03,36.76,3.5,m_1508
430500,18.125,92.375,,,47.03,36.7675,3.375,m_1508
430800,20.428571428571427,90.42857142857143,,,47.03142857142858,36.769999999999996,2.5714285714285716,m_1508
431100,28.1,92.1,,,47.04,36.77,4.4,m_1508
431400,24.0,91.44444444444444,,,47.04,36.775555555555556,4.888888888888889,m_1508
431700,21.3,91.8,,,47.044,36.78,2.6,m_1508
432000,25.428571428571427,92.28571428571429,,,47.05,36.78000000000001,3.857142857142857,m_1508
